Epoch 0, RMSE 1.37277772332
Epoch 1, RMSE 0.906023978865
Epoch 2, RMSE 0.921502503532
Epoch 3, RMSE 0.932938991421
Epoch 4, RMSE 0.939711879492
Epoch 5, RMSE 0.947977485676
Epoch 6, RMSE 0.950390662388
Epoch 7, RMSE 0.961033896851
Epoch 8, RMSE 0.969657097681
Epoch 9, RMSE 0.967850291471
Epoch 10, RMSE 0.966797429028
Epoch 11, RMSE 0.969698343384
Epoch 12, RMSE 0.969353642202
Epoch 13, RMSE 0.96662640087
Epoch 14, RMSE 0.969607678543
Epoch 15, RMSE 0.96654231398
Epoch 16, RMSE 0.963497051468
Epoch 17, RMSE 0.963946335251
Epoch 18, RMSE 0.964342265651
Epoch 19, RMSE 0.965736024841
Epoch 20, RMSE 0.961578484838
