Epoch 0, RMSE 1.372589887
Epoch 1, RMSE 1.06528865007
Epoch 2, RMSE 1.00442560402
Epoch 3, RMSE 0.976725572308
Epoch 4, RMSE 0.961051852467
Epoch 5, RMSE 0.949836791278
Epoch 6, RMSE 0.942764908346
Epoch 7, RMSE 0.934154592899
Epoch 8, RMSE 0.92698980186
Epoch 9, RMSE 0.921946024093
Epoch 10, RMSE 0.918526023984
Epoch 11, RMSE 0.915320652079
Epoch 12, RMSE 0.912726082228
Epoch 13, RMSE 0.910714940756
Epoch 14, RMSE 0.909542760195
Epoch 15, RMSE 0.907374152155
Epoch 16, RMSE 0.906024077252
Epoch 17, RMSE 0.90511509203
Epoch 18, RMSE 0.904965981805
Epoch 19, RMSE 0.904768455301
Epoch 20, RMSE 0.903838061109
