Epoch 0, RMSE 1.37192114862
Epoch 1, RMSE 1.06596532525
Epoch 2, RMSE 1.00463654867
Epoch 3, RMSE 0.978001017703
Epoch 4, RMSE 0.96181098438
Epoch 5, RMSE 0.950923444821
Epoch 6, RMSE 0.943770564596
Epoch 7, RMSE 0.936067799857
Epoch 8, RMSE 0.929187445553
Epoch 9, RMSE 0.924433939815
Epoch 10, RMSE 0.919633316644
Epoch 11, RMSE 0.91726047782
Epoch 12, RMSE 0.91448295258
Epoch 13, RMSE 0.912837981837
Epoch 14, RMSE 0.9112567033
Epoch 15, RMSE 0.909452238978
Epoch 16, RMSE 0.909198137636
Epoch 17, RMSE 0.908282403535
Epoch 18, RMSE 0.906990652942
Epoch 19, RMSE 0.906406514191
Epoch 20, RMSE 0.905295373734
Epoch 21, RMSE 0.906032632117
Epoch 22, RMSE 0.904387628498
Epoch 23, RMSE 0.904158791383
Epoch 24, RMSE 0.903667320395
Epoch 25, RMSE 0.903291430528
Epoch 26, RMSE 0.903273873928
Epoch 27, RMSE 0.90167049504
Epoch 28, RMSE 0.900979337486
Epoch 29, RMSE 0.901253245859
Epoch 30, RMSE 0.900458299915
Epoch 31, RMSE 0.900556775321
Epoch 32, RMSE 0.899329899443
Epoch 33, RMSE 0.89955824036
Epoch 34, RMSE 0.898361322007
Epoch 35, RMSE 0.89909755349
Epoch 36, RMSE 0.899785517132
Epoch 37, RMSE 0.899368995403
Epoch 38, RMSE 0.898191234095
Epoch 39, RMSE 0.89765237632
Epoch 40, RMSE 0.896228694797
Epoch 41, RMSE 0.896154992142
Epoch 42, RMSE 0.896705851103
Epoch 43, RMSE 0.896210813803
Epoch 44, RMSE 0.896831952674
Epoch 45, RMSE 0.896241036716
Epoch 46, RMSE 0.896572731397
Epoch 47, RMSE 0.895184379398
Epoch 48, RMSE 0.896332252089
Epoch 49, RMSE 0.89512959931
Epoch 50, RMSE 0.893992834179
