Epoch 0, RMSE 1.37217262278
Epoch 1, RMSE 1.0660449874
Epoch 2, RMSE 1.00433466647
Epoch 3, RMSE 0.977544782355
Epoch 4, RMSE 0.961764368455
Epoch 5, RMSE 0.950927963793
Epoch 6, RMSE 0.943883229063
Epoch 7, RMSE 0.936135772336
Epoch 8, RMSE 0.929258734221
Epoch 9, RMSE 0.924715363268
Epoch 10, RMSE 0.920429714424
Epoch 11, RMSE 0.916931783758
Epoch 12, RMSE 0.915287510969
Epoch 13, RMSE 0.9125864565
Epoch 14, RMSE 0.911759944227
Epoch 15, RMSE 0.910402423381
Epoch 16, RMSE 0.908542768484
Epoch 17, RMSE 0.908591947492
Epoch 18, RMSE 0.907946864076
Epoch 19, RMSE 0.906701658825
Epoch 20, RMSE 0.905417368963
Epoch 21, RMSE 0.905688366821
Epoch 22, RMSE 0.905344752109
Epoch 23, RMSE 0.903989375579
Epoch 24, RMSE 0.904078371508
Epoch 25, RMSE 0.902898296097
Epoch 26, RMSE 0.902517647404
Epoch 27, RMSE 0.902160610728
Epoch 28, RMSE 0.901741586544
Epoch 29, RMSE 0.901407668909
