Epoch 0, RMSE 0.90583714398
Epoch 1, RMSE 0.898204696714
Epoch 2, RMSE 0.900132815211
Epoch 3, RMSE 0.898587207243
Epoch 4, RMSE 0.897761542064
Epoch 5, RMSE 0.895527797054
Epoch 6, RMSE 0.895958127965
Epoch 7, RMSE 0.892770678827
Epoch 8, RMSE 0.894781602519
Epoch 9, RMSE 0.896827466455
Epoch 10, RMSE 0.897794735165
Epoch 11, RMSE 0.902270424039
Epoch 12, RMSE 0.904573563885
Epoch 13, RMSE 0.906363844071
Epoch 14, RMSE 0.911265285994
Epoch 15, RMSE 0.909645851911
Epoch 16, RMSE 0.912917318018
Epoch 17, RMSE 0.915696984758
Epoch 18, RMSE 0.919080827315
Epoch 19, RMSE 0.920489546278
Epoch 20, RMSE 0.92137920957
Epoch 21, RMSE 0.92642673945
Epoch 22, RMSE 0.924197738674
Epoch 23, RMSE 0.927100947115
Epoch 24, RMSE 0.929324733813
Epoch 25, RMSE 0.934291506819
Epoch 26, RMSE 0.93534523017
Epoch 27, RMSE 0.934696272077
Epoch 28, RMSE 0.93780467492
Epoch 29, RMSE 0.939548310601
Epoch 30, RMSE 0.941052216884
Epoch 31, RMSE 0.945491703281
Epoch 32, RMSE 0.942016749846
Epoch 33, RMSE 0.944800894639
Epoch 34, RMSE 0.948520409416
Epoch 35, RMSE 0.946821207939
Epoch 36, RMSE 0.950004917191
Epoch 37, RMSE 0.950412086762
Epoch 38, RMSE 0.948731031463
Epoch 39, RMSE 0.957474055004
Epoch 40, RMSE 0.957063385485
Epoch 41, RMSE 0.955777149034
Epoch 42, RMSE 0.956230496203
Epoch 43, RMSE 0.958017444823
Epoch 44, RMSE 0.958658179867
Epoch 45, RMSE 0.956325189906
Epoch 46, RMSE 0.962648422169
Epoch 47, RMSE 0.965425907392
Epoch 48, RMSE 0.96531098373
Epoch 49, RMSE 0.960302285656
