Epoch 0, RMSE 0.909473763623
Epoch 1, RMSE 0.928715701693
Epoch 2, RMSE 0.945660455273
Epoch 3, RMSE 0.961206829406
Epoch 4, RMSE 0.969709041246
Epoch 5, RMSE 0.980128769589
Epoch 6, RMSE 0.998222125323
Epoch 7, RMSE 1.00467334315
Epoch 8, RMSE 1.01443564803
Epoch 9, RMSE 1.01563750972
Epoch 10, RMSE 1.01592620456
Epoch 11, RMSE 1.02295887875
Epoch 12, RMSE 1.0255282821
Epoch 13, RMSE 1.02840851221
Epoch 14, RMSE 1.02460871274
Epoch 15, RMSE 1.03089541857
Epoch 16, RMSE 1.02699732758
Epoch 17, RMSE 1.0349905761
Epoch 18, RMSE 1.03340117509
Epoch 19, RMSE 1.03763706113
Epoch 20, RMSE 1.03842919269
Epoch 21, RMSE 1.03839104055
Epoch 22, RMSE 1.04500462633
Epoch 23, RMSE 1.04203092719
Epoch 24, RMSE 1.04356723663
Epoch 25, RMSE 1.04180345332
Epoch 26, RMSE 1.0441961781
Epoch 27, RMSE 1.0467779768
Epoch 28, RMSE 1.04640440676
Epoch 29, RMSE 1.04980616372
Epoch 30, RMSE 1.04802189724
Epoch 31, RMSE 1.05411540068
Epoch 32, RMSE 1.04935153509
Epoch 33, RMSE 1.05076477357
Epoch 34, RMSE 1.05068662176
Epoch 35, RMSE 1.05651035736
Epoch 36, RMSE 1.05786842715
Epoch 37, RMSE 1.05849368093
Epoch 38, RMSE 1.06227865195
Epoch 39, RMSE 1.05512041757
Epoch 40, RMSE 1.05493930028
Epoch 41, RMSE 1.05722324954
Epoch 42, RMSE 1.05754119836
Epoch 43, RMSE 1.05506599365
Epoch 44, RMSE 1.05759799993
Epoch 45, RMSE 1.06642936074
Epoch 46, RMSE 1.06334504528
Epoch 47, RMSE 1.06596717329
Epoch 48, RMSE 1.06370987096
Epoch 49, RMSE 1.06074299991
