Epoch 0, RMSE 1.02445005116
Epoch 1, RMSE 0.770131568147
Epoch 2, RMSE 0.746274024335
Epoch 3, RMSE 0.72209448104
Epoch 4, RMSE 0.712931083348
Epoch 5, RMSE 0.710613277467
Epoch 6, RMSE 0.702973409426
Epoch 7, RMSE 0.698854632856
Epoch 8, RMSE 0.688452122362
Epoch 9, RMSE 0.672851350465
Epoch 10, RMSE 0.669257460016
Epoch 11, RMSE 0.657234038909
Epoch 12, RMSE 0.649398574732
Epoch 13, RMSE 0.642327528558
Epoch 14, RMSE 0.630490556825
Epoch 15, RMSE 0.616794476355
Epoch 16, RMSE 0.601285069253
Epoch 17, RMSE 0.59717881682
Epoch 18, RMSE 0.589891941351
Epoch 19, RMSE 0.578796143275
Epoch 20, RMSE 0.572212578969
Epoch 21, RMSE 0.553787738757
Epoch 22, RMSE 0.547525902755
Epoch 23, RMSE 0.532754755001
Epoch 24, RMSE 0.528867452074
Epoch 25, RMSE 0.522267428352
Epoch 26, RMSE 0.509298913938
Epoch 27, RMSE 0.49476441949
Epoch 28, RMSE 0.486536883255
Epoch 29, RMSE 0.483587342211
Epoch 30, RMSE 0.471872604674
Epoch 31, RMSE 0.459522879657
Epoch 32, RMSE 0.456868657772
Epoch 33, RMSE 0.442677406582
Epoch 34, RMSE 0.433174575526
Epoch 35, RMSE 0.423021590888
Epoch 36, RMSE 0.410984307207
Epoch 37, RMSE 0.406515549418
Epoch 38, RMSE 0.404368108568
Epoch 39, RMSE 0.40250292579
Epoch 40, RMSE 0.394941616013
Epoch 41, RMSE 0.381075384951
Epoch 42, RMSE 0.380790353307
Epoch 43, RMSE 0.36581832086
Epoch 44, RMSE 0.376947123029
Epoch 45, RMSE 0.373497042651
Epoch 46, RMSE 0.363990788024
Epoch 47, RMSE 0.347726773527
Epoch 48, RMSE 0.349343788005
Epoch 49, RMSE 0.343185161146
