Epoch 0, RMSE 1.24364674142
Epoch 1, RMSE 0.98925841824
Epoch 2, RMSE 1.00800739054
Epoch 3, RMSE 0.986926094179
Epoch 4, RMSE 0.978597488404
Epoch 5, RMSE 0.968021761808
Epoch 6, RMSE 0.948198645843
Epoch 7, RMSE 0.939578963037
Epoch 8, RMSE 0.934159351479
Epoch 9, RMSE 0.934373734897
Epoch 10, RMSE 0.937896302003
Epoch 11, RMSE 0.936804565764
Epoch 12, RMSE 0.934319402239
Epoch 13, RMSE 0.931785631917
Epoch 14, RMSE 0.936798986879
Epoch 15, RMSE 0.940967134763
Epoch 16, RMSE 0.939711747023
Epoch 17, RMSE 0.936955399578
Epoch 18, RMSE 0.93970075992
Epoch 19, RMSE 0.941591475787
Epoch 20, RMSE 0.934179036665
Epoch 21, RMSE 0.941459132423
Epoch 22, RMSE 0.94017903518
Epoch 23, RMSE 0.940788846976
Epoch 24, RMSE 0.943160097773
Epoch 25, RMSE 0.953383312338
Epoch 26, RMSE 0.948886166304
Epoch 27, RMSE 0.947305304725
Epoch 28, RMSE 0.944401095458
Epoch 29, RMSE 0.9448311735
Epoch 30, RMSE 0.951348113722
Epoch 31, RMSE 0.952318317131
Epoch 32, RMSE 0.952563625566
Epoch 33, RMSE 0.944852309896
Epoch 34, RMSE 0.963605323486
Epoch 35, RMSE 0.963597956202
Epoch 36, RMSE 0.960645390281
Epoch 37, RMSE 0.957360288507
Epoch 38, RMSE 0.961121266596
Epoch 39, RMSE 0.963448188448
Epoch 40, RMSE 0.959089284367
Epoch 41, RMSE 0.964132687021
Epoch 42, RMSE 0.970755399925
Epoch 43, RMSE 0.961437898296
Epoch 44, RMSE 0.969358253156
Epoch 45, RMSE 0.968362896625
Epoch 46, RMSE 0.982164702068
Epoch 47, RMSE 0.970913445217
Epoch 48, RMSE 0.973790093609
Epoch 49, RMSE 0.975125514447
